old_prefix,new_prefix,update_page_xml,expected_number_of_files
input/0001,input/0005,FALSE,1
processing/0001,processing/0005,TRUE,4
input/0002,input/0009,FALSE,1
processing/0002,processing/0009,TRUE,4
input/0003,input/0010,FALSE,1
processing/0003,processing/0010,TRUE,4
input/0004,input/0029,FALSE,1
processing/0004,processing/0029,TRUE,4
input/0005,input/0030,FALSE,1
processing/0005,processing/0030,TRUE,4
input/0006,input/0034,FALSE,1
processing/0006,processing/0034,TRUE,4
input/0007,input/0035,FALSE,1
processing/0007,processing/0035,TRUE,4
input/0008,input/0036,FALSE,1
processing/0008,processing/0036,TRUE,4
input/0009,input/0037,FALSE,1
processing/0009,processing/0037,TRUE,4
input/0010,input/0038,FALSE,1
processing/0010,processing/0038,TRUE,4
input/0011,input/0039,FALSE,1
processing/0011,processing/0039,TRUE,4
input/0012,input/0040,FALSE,1
processing/0012,processing/0040,TRUE,4
input/0013,input/0041,FALSE,1
processing/0013,processing/0041,TRUE,4
input/0014,input/0042,FALSE,1
processing/0014,processing/0042,TRUE,4
input/0015,input/0043,FALSE,1
processing/0015,processing/0043,TRUE,4
input/0016,input/0044,FALSE,1
processing/0016,processing/0044,TRUE,4
input/0017,input/0045,FALSE,1
processing/0017,processing/0045,TRUE,4
input/0018,input/0046,FALSE,1
processing/0018,processing/0046,TRUE,4
input/0019,input/0047,FALSE,1
processing/0019,processing/0047,TRUE,4
input/0020,input/0048,FALSE,1
processing/0020,processing/0048,TRUE,4
input/0021,input/0049,FALSE,1
processing/0021,processing/0049,TRUE,4
input/0022,input/0050,FALSE,1
processing/0022,processing/0050,TRUE,4
input/0023,input/0051,FALSE,1
processing/0023,processing/0051,TRUE,4
input/0024,input/0052,FALSE,1
processing/0024,processing/0052,TRUE,4
input/0025,input/0053,FALSE,1
processing/0025,processing/0053,TRUE,4
input/0026,input/0054,FALSE,1
processing/0026,processing/0054,TRUE,4
input/0027,input/0055,FALSE,1
processing/0027,processing/0055,TRUE,4
input/0028,input/0058,FALSE,1
processing/0028,processing/0058,TRUE,4
input/0029,input/0059,FALSE,1
processing/0029,processing/0059,TRUE,4
input/0030,input/0060,FALSE,1
processing/0030,processing/0060,TRUE,4
input/0031,input/0061,FALSE,1
processing/0031,processing/0061,TRUE,4
input/0032,input/0062,FALSE,1
processing/0032,processing/0062,TRUE,4
input/0033,input/0063,FALSE,1
processing/0033,processing/0063,TRUE,4
input/0034,input/0064,FALSE,1
processing/0034,processing/0064,TRUE,4
input/0035,input/0065,FALSE,1
processing/0035,processing/0065,TRUE,4
input/0036,input/0069,FALSE,1
processing/0036,processing/0069,TRUE,4
input/0037,input/0070,FALSE,1
processing/0037,processing/0070,TRUE,4
input/0038,input/0071,FALSE,1
processing/0038,processing/0071,TRUE,4
input/0039,input/0072,FALSE,1
processing/0039,processing/0072,TRUE,4
input/0040,input/0073,FALSE,1
processing/0040,processing/0073,TRUE,4
